date,log_return
1993-06-29,-0.0025705327
1993-06-30,-0.0003550824
1993-07-01,-0.0033572591
1993-07-02,-0.0071072707
1993-07-06,-0.0099406946
1993-07-07,0.0031664784
1993-07-08,0.0130348982
1993-07-09,-0.0011821118
1993-07-12,0.0019396625
1993-07-13,-0.0019842709
1993-07-14,0.0044312180
1993-07-15,-0.0019125667
1993-07-16,-0.0077544914
1993-07-19,0.0006279549
1993-07-20,0.0028656495
1993-07-21,-0.0002906793
1993-07-22,-0.0059886079
1993-07-23,0.0058097230
1993-07-26,0.0044410080
1993-07-27,-0.0018945235
1993-07-28,-0.0023452158
1993-07-29,0.0067971865
1993-07-30,-0.0046973724
1993-08-02,0.0044974672
1993-08-03,-0.0019568281
1993-08-04,-0.0016261361
1993-08-05,-0.0009145030
1993-08-06,0.0012265427
1993-08-09,0.0045363844
1993-08-10,-0.0028216667
1993-08-11,0.0022446237
1993-08-12,-0.0033354860
1993-08-13,0.0026249002
1993-08-16,0.0049638674
1993-08-17,0.0016565254
1993-08-18,0.0064014729
1993-08-19,0.0008547879
1993-08-20,-0.0005916984
1993-08-23,-0.0020408233
1993-08-24,0.0099235307
1993-08-25,0.0007827283
1993-08-26,0.0019757568
1993-08-27,-0.0010850931
1993-08-30,0.0029486716
1993-08-31,0.0035874170
1993-09-01,-0.0008848587
1993-09-02,-0.0040023984
1993-09-03,0.0000867262
1993-09-07,-0.0061314030
1993-09-08,-0.0040866675
1993-09-09,0.0018596649
1993-09-10,0.0091817647
1993-09-13,0.0007360981
1993-09-14,-0.0046856862
1993-09-15,0.0036896671
1993-09-16,-0.0047121537
1993-09-17,-0.0013068329
1993-09-20,-0.0082724656
1993-09-21,-0.0046255051
1993-09-22,0.0071495655
1993-09-23,0.0033699794
1993-09-24,-0.0002403080
1993-09-27,0.0090708625
1993-09-28,-0.0005848159
1993-09-29,-0.0030814951
1993-09-30,-0.0025678825
1993-10-01,0.0051075542
1993-10-04,0.0001300591
1993-10-05,-0.0003034755
1993-10-06,-0.0009979435
1993-10-07,-0.0033915973
1993-10-08,0.0024578961
1993-10-11,0.0012375458
1993-10-12,0.0005205862
1993-10-13,0.0008020619
1993-10-14,0.0115047729
1993-10-15,0.0057031617
1993-10-18,-0.0022389002
1993-10-19,-0.0047932404
1993-10-20,-0.0003003049
1993-10-21,-0.0015245850
